"","DE.PMT"
"2000",7.36153236584762
"2001",7.36153236584762
"2002",7.27933237575362
"2003",7.13866574210694
"2004",7.03866574210694
"2005",6.66693229650564
"2006",6.53253231631764
"2007",6.40406567276496
"2008",6.26966569257696
"2009",6.71986528643108
"2010",6.65359863297241
"2011",6.58733197951374
"2012",6.52106532605507
"2013",6.42666534586706
"2014",6.32226536567905
"2015",6.22786538549105
"2016",6.13753206866771
"2017",6.04906542511504
"2018",5.9587321082917
"2019",5.86433212810369
"2020",5.77993214791569
"2021",5.68959883109235
