"","years","Total"
"1",2002,6.428458605
"2",2003,6.8137164675
"3",2004,6.765651171
"4",2005,9.46690353385195
"5",2006,11.1990852532942
"6",2007,8.84974985826364
"7",2008,13.7932692474011
"8",2009,10.6972196594808
"9",2010,10.6772101162219
"10",2011,11.3912292521454
"11",2012,10.9033959191454
"12",2013,10.0567848080342
"13",2014,9.21017369692313
"14",2015,8.36356258581202
"15",2016,7.81215147470091
"16",2017,7.2607403635898
"17",2018,6.70932925247869
"18",2019,6.15791814136758
"19",2020,5.60650703025646
"20",2021,5.05509591914535
