,Germany,Lithuania,United Kingdom
1990,1246138,49433,763884
1991,1200387,50753,770714
1992,1150559,30370,747635
1993,1141417,24379,726519
1994,1121784,22808,715013
1995,1117435,21927,706157
1996,1136356,23258,727189
1997,1100231,22896,701334
1998,1074379,23665,698665
1999,1040060,20998,667680
2000,1038999,19364,669879
2001,1053763,20425,674872
2002,1032628,20919,654252
2003,1030810,20841,659072
2004,1019243,21840,658943
2005,997277,22919,654094
2006,998895,23314,649596
2007,976992,25443,640035
2008,975967,24331,626072
2009,911802,19959,572338
2010,936544,20810,590247
