,Germany,Lithuania,United Kingdom
1990,455079,12013,274432
1991,455323,11891,281048
1992,450926,9172,281469
1993,446066,6692,286131
1994,443573,6511,284264
1995,451209,6355,294722
1996,458358,6524,309366
1997,461727,6736,311196
1998,466127,6753,315678
1999,473481,6543,322744
2000,483453,6197,329420
2001,495267,6446,332722
2002,508508,6723,333401
2003,512885,7179,336218
2004,519701,7650,338946
2005,520954,7977,348675
2006,525804,8432,345229
2007,527352,8859,342657
2008,525549,9045,342168
2009,495573,8371,322717
2010,528958,8332,328318
