,Germany,Lithuania,United Kingdom
1990,550015,28405,319737
1991,539634,29363,322875
1992,537470,18707,321043
1993,526276,14121,323102
1994,529160,10021,326487
1995,537284,13899,334041
1996,555372,16789,350869
1997,551554,14862,350666
1998,556393,17631,362703
1999,556300,13536,368152
2000,576543,11425,377069
2001,586406,14737,384790
2002,586694,17721,387248
2003,606719,19488,398207
2004,615287,19274,393936
2005,620574,14784,398355
2006,636761,12482,397282
2007,637100,14007,396780
2008,637232,13913,388695
2009,592464,15358,376740
2010,627918,5749,381129
